Titre,Localisation,Prix,Nombre_chambre,Nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
61538-Vente Appt à Casablanca Belvedere (Roches No,Casablanca,1500000.0,3,2,96.33530571992111,Vendre,Belvédère,0,3,11-20 ans,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/61538_Vente_Appt_%C3%A0_Casablanca_Belvedere__Roches_No_55737094.htm
Appartement de luxe à vendre,Martil,700000.0,2,1,64.0,Vendre,Toute la ville,1,2,-1 ans,https://www.avito.ma/fr/martil/appartements/Appartement_de_luxe_%C3%A0_vendre__55554174.htm
Appartement à vendre 42 m² à Marrakech,Marrakech,760000.0,1,1,42.0,Vendre,Guéliz,1,1,-1 ans,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_42_m%C2%B2_%C3%A0_Marrakech_55682066.htm
Appartement à vendre 78 m² à El Jadida,El Jadida,570000.0,2,1,78.0,Vendre,Hay Essalam,2,2,6-10 ans,https://www.avito.ma/fr/hay_essalam/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_El_Jadida_55104741.htm
Appartement à vendre 117 m² à Mohammedia,Mohammedia,1800000.0,3,2,117.0,Vendre,Quartier du Parc,1,1,1-5 ans,https://www.avito.ma/fr/quartier_du_parc/appartements/Appartement_%C3%A0_vendre_117_m%C2%B2_%C3%A0_Mohammedia_44430103.htm
48618-Vente Appt à Casablanca Bourgogne (Anfa) de,Casablanca,1900000.0,2,2,87.0,Vendre,Bourgogne,0,3,6-10 ans,https://www.avito.ma/fr/bourgogne/appartements/48618_Vente_Appt_%C3%A0_Casablanca_Bourgogne__Anfa__de__55059678.htm
Appartement à vendre 97 m² à Tanger,Tanger,1100000.0,3,2,97.0,Vendre,Aida,1,3,6-10 ans,https://www.avito.ma/fr/aida/appartements/Appartement_%C3%A0_vendre_97_m%C2%B2_%C3%A0_Tanger_55529881.htm
CMN-SI-1643 - Appartement à vendre à Moulay Youssef,Casablanca,1320000.0,2,1,73.0,Vendre,Autre secteur,0,1,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/CMN_SI_1643___Appartement_%C3%A0_vendre_%C3%A0_Moulay_Youssef_55592156.htm
CMN-MA-1756 - Appartement à vendre à Les princesses,Casablanca,2350000.0,3,2,165.0,Vendre,Les Princesses,0,0,-1 ans,https://www.avito.ma/fr/les_princesses/appartements/CMN_MA_1756___Appartement_%C3%A0_vendre_%C3%A0_Les_princesses_55653636.htm
Appartement à vendre 130 m² à Marrakech,Marrakech,740000.0,3,3,130.0,Vendre,M'Hamid,1,1,-1 ans,https://www.avito.ma/fr/m'hamid/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_Marrakech_55658225.htm
Appartement à vendre- Oulfa,Casablanca,1200000.0,3,2,116.0,Vendre,Oulfa,2,1,11-20 ans,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre__Oulfa_55537572.htm
CMN-SI-1647 - Appartement à vendre à Gauthier,Casablanca,1600000.0,2,2,102.0,Vendre,Gauthier,0,4,-1 ans,https://www.avito.ma/fr/gauthier/appartements/CMN_SI_1647___Appartement_%C3%A0_vendre_%C3%A0_Gauthier_55623653.htm
Appartement à vendre 215 m² à Rabat,Rabat,5200000.0,3,3,215.0,Vendre,Souissi,1,1,21+ ans,https://www.avito.ma/fr/souissi/appartements/Appartement_%C3%A0_vendre_215_m%C2%B2_%C3%A0_Rabat_53939829.htm
35889-Vente Appt à Casablanca Lusitania de 407 m²,Casablanca,4100000.0,4,2,320.0,Vendre,Lusitania,0,5,21+ ans,https://www.avito.ma/fr/lusitania/appartements/35889_Vente_Appt_%C3%A0_Casablanca_Lusitania_de_407_m%C2%B2_55548145.htm
Appartement à vendre 74 m² à El Jadida,El Jadida,590000.0,2,1,74.0,Vendre,Al Boustane,1,1,6-10 ans,https://www.avito.ma/fr/al_boustane/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_%C3%A0_El_Jadida_55366846.htm
appartement à vendre quartier alfadl,Marrakech,700000.0,2,1,73.0,Vendre,Hay Izdihar,1,2,-1 ans,https://www.avito.ma/fr/hay_izdihar/appartements/appartement_%C3%A0_vendre_quartier_alfadl_55737054.htm
31398-Vente Appt à Casablanca Ferme Bretonne de 10,Casablanca,1760000.0,2,2,100.0,Vendre,Ferme Bretone,0,4,6-10 ans,https://www.avito.ma/fr/ferme_bretone/appartements/31398_Vente_Appt_%C3%A0_Casablanca_Ferme_Bretonne_de_10_54712406.htm
appartement,Casablanca,2400000.0,3,2,177.0,Vendre,Ben Ejdia,1,1,11-20 ans,https://www.avito.ma/fr/ben_ejdia/appartements/_appartement_55737047.htm
"2 chambres , salon , cuisine équipée",Marrakech,460000.0,2,1,64.0,Vendre,M'Hamid,1,1,-1 ans,https://www.avito.ma/fr/m'hamid/appartements/2_chambres___salon___cuisine_%C3%A9quip%C3%A9e_55606819.htm
Appartement 57 m² à Casablanca,Casablanca,500000.0,2,1,57.0,Vendre,Sidi Bernoussi,1,3,11-20 ans,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_57_m%C2%B2_%C3%A0_Casablanca_55586630.htm
Appartement à vendre 74 m² à El Jadida,El Jadida,590000.0,2,1,74.0,Vendre,Al Boustane,1,1,6-10 ans,https://www.avito.ma/fr/al_boustane/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_%C3%A0_El_Jadida_55366846.htm
appartement à vendre quartier alfadl,Marrakech,700000.0,2,1,73.0,Vendre,Hay Izdihar,1,2,-1 ans,https://www.avito.ma/fr/hay_izdihar/appartements/appartement_%C3%A0_vendre_quartier_alfadl_55737054.htm
31398-Vente Appt à Casablanca Ferme Bretonne de 10,Casablanca,1760000.0,2,2,100.0,Vendre,Ferme Bretone,0,4,6-10 ans,https://www.avito.ma/fr/ferme_bretone/appartements/31398_Vente_Appt_%C3%A0_Casablanca_Ferme_Bretonne_de_10_54712406.htm
appartement,Casablanca,2400000.0,3,2,177.0,Vendre,Ben Ejdia,1,1,11-20 ans,https://www.avito.ma/fr/ben_ejdia/appartements/_appartement_55737047.htm
"2 chambres , salon , cuisine équipée",Marrakech,460000.0,2,1,64.0,Vendre,M'Hamid,1,1,-1 ans,https://www.avito.ma/fr/m'hamid/appartements/2_chambres___salon___cuisine_%C3%A9quip%C3%A9e_55606819.htm
Appartement 57 m² à Casablanca,Casablanca,500000.0,2,1,57.0,Vendre,Sidi Bernoussi,1,3,11-20 ans,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_57_m%C2%B2_%C3%A0_Casablanca_55586630.htm
Penthouse standing en vente a souissi,Rabat,6500000.0,3,4,270.0,Vendre,Souissi,2,3,-1 ans,https://www.avito.ma/fr/souissi/appartements/Penthouse_standing_en_vente_a_souissi__53347602.htm
54970-Vente Appt à Casablanca Ferme Bretonne de 11,Casablanca,2100000.0,3,2,100.0,Vendre,Ferme Bretone,0,4,1-5 ans,https://www.avito.ma/fr/ferme_bretone/appartements/54970_Vente_Appt_%C3%A0_Casablanca_Ferme_Bretonne_de_11_55653295.htm
Appartement de luxe de 62 m² à vendre à Marrakech.,Marrakech,440000.0,2,1,62.0,Vendre,M'Hamid,1,1,-1 ans,https://www.avito.ma/fr/m'hamid/appartements/Appartement_de_luxe_de_62_m%C2%B2_%C3%A0_vendre_%C3%A0_Marrakech__55602365.htm
bel appartement à vendre,Temara,960000.0,3,2,84.0,Vendre,Riad Oulad Mtaa,1,4,6-10 ans,https://www.avito.ma/fr/riad_oulad_mtaa/appartements/bel_appartement_%C3%A0_vendre__55737002.htm
Appartement à vendre 70 m² à Tanger,Tanger,830000.0,2,1,70.0,Vendre,Autre secteur,1,2,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Tanger_54891023.htm
CMN-MA-1641 - Appartement à vendre à Val Fleurie,Casablanca,1600000.0,3,1,132.0,Vendre,Val Fleuri,0,5,-1 ans,https://www.avito.ma/fr/val_fleuri/appartements/CMN_MA_1641___Appartement_%C3%A0_vendre_%C3%A0_Val_Fleurie_55294484.htm
RAK-GU-1108 - Appartement à vendre à Izdihar,Marrakech,600000.0,2,1,101.0,Vendre,Hay Izdihar,0,0,-1 ans,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1108___Appartement_%C3%A0_vendre_%C3%A0_Izdihar_55244103.htm
NEW-OASIS2 - Appartement à vendre à Oasis,Casablanca,925000.0,1,1,38.0,Vendre,Oasis,0,0,-1 ans,https://www.avito.ma/fr/oasis/appartements/NEW_OASIS2___Appartement_%C3%A0_vendre_%C3%A0_Oasis_55736947.htm
appartement haut standing,Tétouan,680000.0,3,2,86.0,Vendre,Kouilma,1,3,-1 ans,https://www.avito.ma/fr/kouilma/appartements/appartement_haut_standing_55736949.htm
8794-Vente Appt à Témara Hay Al Wifaq de 110 m²,Temara,1080000.0,2,1,76.0,Vendre,Wifak,0,0,21+ ans,https://www.avito.ma/fr/wifak/appartements/8794_Vente_Appt_%C3%A0_T%C3%A9mara_Hay_Al_Wifaq_de_110_m%C2%B2_54687713.htm
lux apt deux façade lagironde,Casablanca,1000000.0,2,2,84.0,Vendre,La Gironde,1,2,6-10 ans,https://www.avito.ma/fr/la_gironde/appartements/lux_apt_deux_fa%C3%A7ade_lagironde__55714548.htm
RBA-HA-1054 - Appartement à vendre à L'Ocean,Rabat,1200000.0,1,1,84.0,Vendre,Quartier de l'Océan,0,5,-1 ans,https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/RBA_HA_1054___Appartement_%C3%A0_vendre_%C3%A0_L_Ocean_54936810.htm
Joli appartement 2 chambres à vendre,Marrakech,500000.0,2,1,66.0,Vendre,Hay Charaf,1,1,-1 ans,https://www.avito.ma/fr/hay_charaf/appartements/Joli_appartement_2_chambres_%C3%A0_vendre__55675195.htm
53950-Vente Appt à Rabat Kebibat de 85 m²,Rabat,1150000.0,2,1,85.0,Vendre,Kébibat,0,1,21+ ans,https://www.avito.ma/fr/k%C3%A9bibat/appartements/53950_Vente_Appt_%C3%A0_Rabat_Kebibat_de_85_m%C2%B2_55420196.htm
Appartement NUEF vendre 118 m² à JARDINS MAJORELLE,Casablanca,1600000.0,3,2,118.0,Vendre,Aïn Chock,2,4,6-10 ans,https://www.avito.ma/fr/a%C3%AFn_chock/appartements/Appartement_NUEF_vendre_118_m%C2%B2_%C3%A0_JARDINS_MAJORELLE_55736916.htm
Appartement meublé 2 chambre 66m2,Tanger,660000.0,2,1,66.0,Vendre,Aida,1,3,1-5 ans,https://www.avito.ma/fr/aida/appartements/Appartement_meubl%C3%A9_2_chambre_66m2_55720082.htm
Appartement à vendre 111 m² à Tanger,Tanger,2250000.0,2,2,111.0,Vendre,Malabata,2,4,-1 ans,https://www.avito.ma/fr/malabata/appartements/Appartement_%C3%A0_vendre_111_m%C2%B2_%C3%A0_Tanger_55736917.htm
Appartement à vendre 74 m² à Casablanca,Casablanca,6800.0,2,2,74.0,Vendre,Sidi Bernoussi,0,4,6-10 ans,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_%C3%A0_Casablanca_40808854.htm
belle occasion Appartement 68 m² à Sale,Salé,520000.0,2,1,68.0,Vendre,Tabriquet,2,4,21+ ans,https://www.avito.ma/fr/tabriquet/appartements/belle_occasion_Appartement_68_m%C2%B2_%C3%A0_Sale_55237038.htm
appartement 2 faces,Agadir,400000.0,2,1,58.0,Vendre,Cité Adrar,1,4,1-5 ans,https://www.avito.ma/fr/cit%C3%A9_adrar/appartements/appartement_2_faces_55736898.htm
Appartement à vendre 119 m² à Casablanca,Casablanca,830000.0,3,3,119.0,Vendre,Val Fleuri,1,2,6-10 ans,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_%C3%A0_vendre_119_m%C2%B2_%C3%A0_Casablanca_54915222.htm
Neuf apartement à vendre 90m² 2ème ètage,Agadir,830000.0,3,2,90.0,Vendre,Hay Mohammadi,1,1,-1 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Neuf_apartement__%C3%A0_vendre_90m%C2%B2_2%C3%A8me_%C3%A8tage__55702067.htm
Appartement haut standing à vendre à Bouskoura,Bouskoura,1480000.0,3,2,114.0,Vendre,Ville verte,1,2,-1 ans,https://www.avito.ma/fr/ville_verte/appartements/Appartement_haut_standing_%C3%A0_vendre_%C3%A0_Bouskoura_55624013.htm
Appartement 2 CH AU 4ème ET DERNIER ÉTAGE,Agadir,600000.0,2,1,60.0,Vendre,Hay Salam,1,4,21+ ans,https://www.avito.ma/fr/hay_salam/appartements/Appartement_2_CH_AU_4%C3%A8me_ET_DERNIER_%C3%89TAGE_55677358.htm
Appart seul escalier 163 m² à côté Marjane 3 face,El Jadida,1180000.0,3,2,163.0,Vendre,Najmat Al Janoub,2,2,-1 ans,https://www.avito.ma/fr/najmat_al_janoub/appartements/Appart_seul_escalier_163_m%C2%B2_%C3%A0_c%C3%B4t%C3%A9_Marjane_3_face__55003068.htm
appartement à vendre immeuble Yasmine,Agadir,1000000.0,2,2,82.0,Vendre,Av Mokawama,1,3,-1 ans,https://www.avito.ma/fr/av_mokawama/appartements/appartement_%C3%A0_vendre_immeuble_Yasmine__55718402.htm
appartement à vendre 133 m iberia,Tanger,830000.0,3,1,133.0,Vendre,Iberie,1,5,-1 ans,https://www.avito.ma/fr/iberie/appartements/appartement_%C3%A0_vendre_133_m_iberia_55736895.htm
vente appartement,Casablanca,680000.0,2,1,68.0,Vendre,Hay Hassani,1,1,11-20 ans,https://www.avito.ma/fr/hay_hassani/appartements/vente_appartement__55736893.htm
Appartement à vendre 160 m² à Casablanca Marina,Casablanca,3700000.0,2,2,160.0,Vendre,Marina,2,1,6-10 ans,https://www.avito.ma/fr/marina/appartements/Appartement_%C3%A0_vendre_160_m%C2%B2_%C3%A0_Casablanca_Marina_55714361.htm
vente appartement,Casablanca,680000.0,2,1,68.0,Vendre,Hay Hassani,1,1,11-20 ans,https://www.avito.ma/fr/hay_hassani/appartements/vente_appartement__55736893.htm
Appartement à vendre 160 m² à Casablanca Marina,Casablanca,3700000.0,2,2,160.0,Vendre,Marina,2,1,6-10 ans,https://www.avito.ma/fr/marina/appartements/Appartement_%C3%A0_vendre_160_m%C2%B2_%C3%A0_Casablanca_Marina_55714361.htm
Appartement à vendre 96 m² à Agadir,Agadir,1230000.0,2,2,96.0,Vendre,Hay Mohammadi,1,2,6-10 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Agadir_54435593.htm
Appartement à vendre 64 m² à Tamesna,Tamesna,830000.0,2,1,64.0,Vendre,Toute la ville,1,3,-1 ans,https://www.avito.ma/fr/tamesna/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Tamesna_55736876.htm
Appartement à vendre 63 m² à Agadir,Agadir,600000.0,2,1,60.0,Vendre,Hay Mohammadi,1,3,11-20 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_63_m%C2%B2_%C3%A0_Agadir_55682805.htm
شقة الهبال 130m مشمشة فيها شروط الدعم,Had Soualem,680000.0,3,2,130.0,Vendre,Toute la ville,1,3,-1 ans,https://www.avito.ma/fr/had_soualem/appartements/%D8%B4%D9%82%D8%A9_%D8%A7%D9%84%D9%87%D8%A8%D8%A7%D9%84_130m__%D9%85%D8%B4%D9%85%D8%B4%D8%A9_%D9%81%D9%8A%D9%87%D8%A7_%D8%B4%D8%B1%D9%88%D8%B7_%D8%A7%D9%84%D8%AF%D8%B9%D9%85_47270670.htm
Dublex Appartt 123 m² à Ibn badis 2 face,El Jadida,980000.0,3,3,123.0,Vendre,Centre,2,2,-1 ans,https://www.avito.ma/fr/centre/appartements/Dublex_Appartt_123_m%C2%B2_%C3%A0_Ibn_badis_2_face__55397178.htm
Appartement à vendre 100 m² à Casablanca,Casablanca,740000.0,4,3,100.0,Vendre,Autre secteur,1,1,6-10 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Casablanca_55328964.htm
Appartement à vendre 74 m² à Marrakech,Marrakech,660000.0,2,2,61.0,Vendre,Route de Casablanca,1,2,6-10 ans,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_%C3%A0_Marrakech_54693268.htm
Appartement à vendre 81 m² à Dar Bouazza,Dar Bouazza,1350000.0,2,2,81.0,Vendre,Toute la ville,1,1,-1 ans,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_81_m%C2%B2_%C3%A0_Dar_Bouazza_55714260.htm
Appartement traversant à Victoria,Bouskoura,1647000.0,3,2,126.0,Vendre,Victoria,1,0,6-10 ans,https://www.avito.ma/fr/victoria/appartements/Appartement_traversant_%C3%A0_Victoria__55529721.htm
Appartement 81 m² avec piscine a gueliz,Marrakech,769500.0,2,1,81.0,Vendre,Guéliz,1,3,-1 ans,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_81_m%C2%B2_avec_piscine_a_gueliz_33066805.htm
Appartement à vendre 89 m² à El Jadida,El Jadida,680000.0,2,1,89.0,Vendre,Najd,1,1,-1 ans,https://www.avito.ma/fr/najd/appartements/Appartement_%C3%A0_vendre_89_m%C2%B2_%C3%A0_El_Jadida_54662356.htm
appartement en location meublé,Casablanca,7000.0,2,2,88.0,Vendre,Beauséjour,1,1,6-10 ans,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/appartement_en_location_meubl%C3%A9__55736827.htm
Joli Appartement à vendre 62M² 2ème ètage,Agadir,830000.0,2,2,62.0,Vendre,Hay Mohammadi,1,2,-1 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Joli_Appartement_%C3%A0_vendre_62M%C2%B2_2%C3%A8me_%C3%A8tage_55666528.htm
Appartement à vendre 142 m² à Casablanca,Casablanca,6000000.0,2,3,142.0,Vendre,Aïn Diab,1,8,1-5 ans,https://www.avito.ma/fr/a%C3%AFn_diab/appartements/Appartement_%C3%A0_vendre_142_m%C2%B2_%C3%A0_Casablanca_50507466.htm
CMN-ME-1600 - Appartement à vendre à 2 Mars,Casablanca,1750000.0,3,2,127.0,Vendre,2 Mars,0,3,-1 ans,https://www.avito.ma/fr/2_mars/appartements/CMN_ME_1600___Appartement_%C3%A0_vendre_%C3%A0_2_Mars_55657903.htm
Appartement dernier étage sans vis-à-vis,Casablanca,3700000.0,3,2,142.0,Vendre,Maârif Extension,1,5,1-5 ans,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_dernier_%C3%A9tage_sans_vis_%C3%A0_vis__55704308.htm
Appartement à vendre 82 m² à Temara,Temara,660000.0,2,1,82.0,Vendre,Centre Ville,1,1,11-20 ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_Temara_55690519.htm
Appartement à vendre 87 m² 3ème ètage,Agadir,830000.0,3,2,87.0,Vendre,Hay Mohammadi,1,3,-1 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_87_m%C2%B2_3%C3%A8me_%C3%A8tage__55681175.htm
Appartement à vendre 78 m² à Agadir,Agadir,570000.0,2,1,78.0,Vendre,Hay Salam,1,3,-1 ans,https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Agadir_54949904.htm
Appartement à vendre 64 m² à Agadir,Agadir,830000.0,2,2,64.0,Vendre,Hay Mohammadi,1,1,-1 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Agadir_55454973.htm
Appartement sans vis-à-vis face du lycée Lyautey,Casablanca,1660000.0,2,2,118.0,Vendre,Bourgogne,1,3,21+ ans,https://www.avito.ma/fr/bourgogne/appartements/Appartement_sans_vis_%C3%A0_vis_face_du_lyc%C3%A9e_Lyautey_55369098.htm
Grand appartement moderne en haut Agdal,Rabat,3600000.0,3,2,195.0,Vendre,Agdal,3,7,-1 ans,https://www.avito.ma/fr/agdal/appartements/Grand_appartement_moderne_en_haut_Agdal__55653500.htm
Appartement en vente en haut Agdal Rabat,Rabat,2700000.0,3,2,157.0,Vendre,Agdal,2,4,-1 ans,https://www.avito.ma/fr/agdal/appartements/Appartement_en_vente_en_haut_Agdal_Rabat__55653399.htm
Appartement 68 m² à El Jadida,El Jadida,530000.0,3,1,68.0,Vendre,Najd,1,1,-1 ans,https://www.avito.ma/fr/najd/appartements/Appartement_68_m%C2%B2_%C3%A0_El_Jadida_52514508.htm
Appartement à vendre 96 m² à Kénitra,Kénitra,780000.0,2,2,96.0,Vendre,Mimosas,1,5,-1 ans,https://www.avito.ma/fr/mimosas/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_K%C3%A9nitra_55736772.htm
appartement à vendre,Casablanca,490000.0,2,1,60.0,Vendre,Oulfa,1,3,6-10 ans,https://www.avito.ma/fr/oulfa/appartements/appartement_%C3%A0_vendre_55736771.htm
RAK-GU-1088 - Appartement à vendre à Guéliz,Marrakech,1700000.0,3,1,94.0,Vendre,Guéliz,0,5,-1 ans,https://www.avito.ma/fr/gu%C3%A9liz/appartements/RAK_GU_1088___Appartement_%C3%A0_vendre_%C3%A0_Gu%C3%A9liz_55109088.htm
Ideal Appartement à vendre à Bouznika,Bouznika,530000.0,2,1,74.0,Vendre,Autre secteur,1,1,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Ideal_Appartement_%C3%A0_vendre_%C3%A0_Bouznika_53254156.htm
Appartement à vendre 101 m² à Agadir,Agadir,830000.0,2,2,101.0,Vendre,Hay Mohammadi,1,3,-1 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_101_m%C2%B2_%C3%A0_Agadir_54702504.htm
Appartement a vendre à Temara,Temara,1480000.0,3,1,148.0,Vendre,Massira 1,1,1,11-20 ans,https://www.avito.ma/fr/massira_1/appartements/Appartement_a_vendre__%C3%A0_Temara_54659150.htm
Appartement à vendre 111 m² à Casablanca,Casablanca,1450000.0,2,2,111.0,Vendre,2 Mars,2,3,6-10 ans,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_111_m%C2%B2_%C3%A0_Casablanca_55218668.htm
Appartement à vendre 135 m² à Tanger,Tanger,11000.0,2,2,135.0,Vendre,Aviation,1,2,-1 ans,https://www.avito.ma/fr/aviation/appartements/Appartement_%C3%A0_vendre_135_m%C2%B2_%C3%A0_Tanger_53687956.htm
Appartement à vendre à Had Soualem,Had Soualem,800000.0,3,2,119.0,Vendre,Toute la ville,1,1,-1 ans,https://www.avito.ma/fr/had_soualem/appartements/Appartement_%C3%A0_vendre_%C3%A0_Had_Soualem_55736729.htm
Appartement 81 m² avec piscine a gueliz,Marrakech,769500.0,2,1,81.0,Vendre,Guéliz,1,3,-1 ans,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_81_m%C2%B2_avec_piscine_a_gueliz_33066805.htm
Appartement à vendre 89 m² à El Jadida,El Jadida,680000.0,2,1,89.0,Vendre,Najd,1,1,-1 ans,https://www.avito.ma/fr/najd/appartements/Appartement_%C3%A0_vendre_89_m%C2%B2_%C3%A0_El_Jadida_54662356.htm
appartement en location meublé,Casablanca,7000.0,2,2,88.0,Vendre,Beauséjour,1,1,6-10 ans,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/appartement_en_location_meubl%C3%A9__55736827.htm
Joli Appartement à vendre 62M² 2ème ètage,Agadir,830000.0,2,2,62.0,Vendre,Hay Mohammadi,1,2,-1 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Joli_Appartement_%C3%A0_vendre_62M%C2%B2_2%C3%A8me_%C3%A8tage_55666528.htm
Appartement à vendre 142 m² à Casablanca,Casablanca,6000000.0,2,3,142.0,Vendre,Aïn Diab,1,8,1-5 ans,https://www.avito.ma/fr/a%C3%AFn_diab/appartements/Appartement_%C3%A0_vendre_142_m%C2%B2_%C3%A0_Casablanca_50507466.htm
CMN-ME-1600 - Appartement à vendre à 2 Mars,Casablanca,1750000.0,3,2,127.0,Vendre,2 Mars,0,3,-1 ans,https://www.avito.ma/fr/2_mars/appartements/CMN_ME_1600___Appartement_%C3%A0_vendre_%C3%A0_2_Mars_55657903.htm
Appartement dernier étage sans vis-à-vis,Casablanca,3700000.0,3,2,142.0,Vendre,Maârif Extension,1,5,1-5 ans,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_dernier_%C3%A9tage_sans_vis_%C3%A0_vis__55704308.htm
Appartement à vendre 82 m² à Temara,Temara,660000.0,2,1,82.0,Vendre,Centre Ville,1,1,11-20 ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_Temara_55690519.htm
Appartement à vendre 87 m² 3ème ètage,Agadir,830000.0,3,2,87.0,Vendre,Hay Mohammadi,1,3,-1 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_87_m%C2%B2_3%C3%A8me_%C3%A8tage__55681175.htm
Appartement à vendre 78 m² à Agadir,Agadir,570000.0,2,1,78.0,Vendre,Hay Salam,1,3,-1 ans,https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Agadir_54949904.htm
Appartement à vendre 64 m² à Agadir,Agadir,830000.0,2,2,64.0,Vendre,Hay Mohammadi,1,1,-1 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Agadir_55454973.htm
Appartement sans vis-à-vis face du lycée Lyautey,Casablanca,1660000.0,2,2,118.0,Vendre,Bourgogne,1,3,21+ ans,https://www.avito.ma/fr/bourgogne/appartements/Appartement_sans_vis_%C3%A0_vis_face_du_lyc%C3%A9e_Lyautey_55369098.htm
Grand appartement moderne en haut Agdal,Rabat,3600000.0,3,2,195.0,Vendre,Agdal,3,7,-1 ans,https://www.avito.ma/fr/agdal/appartements/Grand_appartement_moderne_en_haut_Agdal__55653500.htm
Appartement en vente en haut Agdal Rabat,Rabat,2700000.0,3,2,157.0,Vendre,Agdal,2,4,-1 ans,https://www.avito.ma/fr/agdal/appartements/Appartement_en_vente_en_haut_Agdal_Rabat__55653399.htm
Appartement 68 m² à El Jadida,El Jadida,530000.0,3,1,68.0,Vendre,Najd,1,1,-1 ans,https://www.avito.ma/fr/najd/appartements/Appartement_68_m%C2%B2_%C3%A0_El_Jadida_52514508.htm
Appartement à vendre 96 m² à Kénitra,Kénitra,780000.0,2,2,96.0,Vendre,Mimosas,1,5,-1 ans,https://www.avito.ma/fr/mimosas/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_K%C3%A9nitra_55736772.htm
appartement à vendre,Casablanca,490000.0,2,1,60.0,Vendre,Oulfa,1,3,6-10 ans,https://www.avito.ma/fr/oulfa/appartements/appartement_%C3%A0_vendre_55736771.htm
RAK-GU-1088 - Appartement à vendre à Guéliz,Marrakech,1700000.0,3,1,94.0,Vendre,Guéliz,0,5,-1 ans,https://www.avito.ma/fr/gu%C3%A9liz/appartements/RAK_GU_1088___Appartement_%C3%A0_vendre_%C3%A0_Gu%C3%A9liz_55109088.htm
Ideal Appartement à vendre à Bouznika,Bouznika,530000.0,2,1,74.0,Vendre,Autre secteur,1,1,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Ideal_Appartement_%C3%A0_vendre_%C3%A0_Bouznika_53254156.htm
